group1,group2,meandiff,p-adj,lower,upper,reject
Кл0,Кл1,4.9667,0.0012,1.882,8.0513,True
Кл0,Кл2,4.3,0.0003,1.9908,6.6092,True
Кл0,Кл3,5.3,0.0006,2.2154,8.3846,True
Кл1,Кл2,-0.6667,0.937,-3.9003,2.5669,False
Кл1,Кл3,0.3333,0.9947,-3.4927,4.1594,False
Кл2,Кл3,1.0,0.8203,-2.2336,4.2336,False
