Практика,Доля не приступавших (%),Доля низких оценок (2-3) (%),Доля высоких оценок (4-5) (%),Проблемный_индекс
1,0.0,100.0,0.0,100.0
3,0.0,26.08695652173913,73.91304347826087,26.08695652173913
4,4.3478260869565215,31.818181818181817,68.18181818181819,36.166007905138336
5,8.695652173913043,28.571428571428573,71.42857142857143,37.267080745341616
6,52.17391304347826,72.72727272727273,27.272727272727273,124.901185770751
7,8.695652173913043,23.80952380952381,76.19047619047619,32.50517598343686
8,39.130434782608695,57.142857142857146,42.857142857142854,96.27329192546584
9,8.695652173913043,14.285714285714286,85.71428571428571,22.98136645962733
10,8.695652173913043,28.571428571428573,71.42857142857143,37.267080745341616
11,39.130434782608695,35.714285714285715,64.28571428571429,74.84472049689441
12,4.3478260869565215,4.545454545454546,95.45454545454545,8.893280632411066
13,47.82608695652174,33.333333333333336,66.66666666666667,81.15942028985508
14,8.695652173913043,9.523809523809524,90.47619047619048,18.219461697722565
15,34.78260869565217,100.0,0.0,134.7826086956522
