group1,group2,meandiff,p-adj,lower,upper,reject
Кл0,Кл1,21.9557,0.0118,4.3138,39.5976,True
Кл0,Кл2,19.6292,0.0026,6.422,32.8364,True
Кл0,Кл3,33.8748,0.0002,16.2329,51.5167,True
Кл1,Кл2,-2.3265,0.9844,-20.8203,16.1672,False
Кл1,Кл3,11.919,0.4393,-9.963,33.8011,False
Кл2,Кл3,14.2456,0.1688,-4.2482,32.7393,False
