group1,group2,meandiff,p-adj,lower,upper,reject
Кл0,Кл1,-136.4333,0.2722,-341.2416,68.3749,False
Кл0,Кл2,-142.6714,0.0736,-295.996,10.6532,False
Кл0,Кл3,-154.4333,0.1825,-359.2416,50.3749,False
Кл1,Кл2,-6.2381,0.9998,-220.9355,208.4593,False
Кл1,Кл3,-18.0,0.9971,-272.0333,236.0333,False
Кл2,Кл3,-11.7619,0.9987,-226.4593,202.9355,False
